All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
ConocoPhillips;COP;Oil & Gas;14;207;N;N;72.15;4.05;0.6900;0.7300;5.80;7-17-14;7-21-14;9-2-14;C02;;2.92;44.99;(10.8);11.12;12;6.49;1.53;1.55;1.61;17.30;8.8 ;(6.1);21.1 ;7.3 ;22 ;88,713;0.0;0.38;0.628;0.844 ;15.5;17.7;13.3;15.7 ;2.700;;2.338;2.035;;1.657;1.472;1.449;1.264;1.110;0.910;0.690;0.628;0.570;0.540;0.524;0.524;18.413;15.5;14.9;22.8;12.6;1.6;14.6;13.9;22.0;31.8;9.8;10.1;5.7;2.9;0.0;12.7;8.5;Energy;6.2 ;17.3 ;73.2;2.94;2.97;3.18;3.41;3.66;16.17;22.4;1.10 ;19.4 ;(16.3);(4.0);(2.6)
Consolidated Edison;ED;Utility-Electric;40;54;N;Y;63.36;3.98;0.6150;0.6300;2.44;2-10-14;2-12-14;3-15-14;C15;;2.52;58.33;(1.4);14.67;12;4.32;5.65;1.42;1.49;10.30;(6.5);2.6 ;1.4 ;2.6 ;18 ;18,557;0.2;1.02;0.718;1.068 ;1.7;1.1;1.0;0.9;2.460;;2.420;2.400;;2.380;2.360;2.340;2.320;2.300;2.280;2.260;2.240;2.220;2.200;2.180;2.140;34.500;1.7;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;1.9;1.0;0.3;Utilities;(9.7);5.0 ;41.7;2.48;2.55;2.61;2.68;2.75;13.08;20.6;0.19 ;22.7 ;(0.3);8.4 ;13.7 
Copa Holdings SA;CPA;Airlines;5;471;-;-;116.92;3.28;0.9275;0.9600;3.50;2-26-14;2-28-14;3-17-14;C17;Panama,US$;3.84;33.51;6.0 ;10.20;12;11.46;0.51;1.88;2.48;26.00;31.0 ;0.0 ;28.9 ;20.2 ;16 ;5,188;11.7;0.50;2.027;n/a;76.7;50.4;58.6;n/a;3.710;#;2.100;1.640;;1.090;0.370;0.370;0.310;0.190;0.000;0.000;0.000;0.000;0.000;0.000;0.000;9.780;76.7;28.0;50.5;194.6;0.0;19.4;63.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.9;52.2;Industrials;51.7 ;61.9 ;60.9;4.08;4.08;4.49;4.94;5.43;23.02;19.7;1.18 ;20.5 ;(26.6);3.4 ;(11.1)
Core Laboratories NV;CLB;Oil&Gas Equip/Svcs;7;401;N;N;139.53;1.43;0.3200;0.5000;56.25;1-22-14;1-24-14;2-21-14;B21;ADR-Neth,US$;2.00;36.10;631.3 ;25.19;12;5.54;1.40;5.74;47.78;159.00;16.3 ;11.6 ;14.0 ;18.0 ;19 ;6,198;0.2;2.56;4.751;n/a;14.3;74.7;66.5;n/a;1.280;;1.120;1.000;;0.240;0.200;0.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.940;14.3;12.0;316.7;20.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.1;82.7;Energy;42.8 ;67.9 ;66.1;1.41;1.55;1.70;1.87;2.06;8.60;6.2;0.95 ;12.5 ;(36.3);(4.6);(16.8)
Costco Wholesale;COST;Retail-Wholesale;11;292;Y;Y;133.37;1.06;0.3100;0.3550;14.52;5-14-14;5-16-14;5-30-14;B30;;1.42;30.54;145.8 ;28.68;8;4.65;2.56;0.52;4.74;17.60;0.4 ;10.6 ;13.5 ;11.2 ;26 ;58,384;0.5;0.41;1.039;n/a;13.1;14.9;14.0;n/a;1.205;;1.065;0.925;;0.795;0.700;0.625;0.565;0.505;0.445;0.300;0.000;0.000;0.000;0.000;0.000;7.130;13.1;15.1;16.4;13.6;12.0;10.6;11.9;13.5;48.3;0.0;0.0;0.0;0.0;0.0;11.0;12.1;Consumer Staples;(13.6);15.1 ;66.2;1.21;1.33;1.46;1.61;1.77;7.39;5.5;0.51 ;22.9 ;0.1 ;5.8 ;13.4 
Covidien plc;COV;Medical Devices;8;394;Y;Y;92.44;1.56;0.3200;0.3600;12.50;10-3-14;10-7-14;11-6-14;B06;"Ire;US$,Being Acq'd";1.44;43.64;128.4 ;28.01;9;3.30;3.06;3.98;4.19;15.90;0.9 ;9.2 ;3.5 ;9.2 ;22 ;41,761;0.2;0.51;3.501;n/a;22.0;15.5;12.3;n/a;1.041;#;0.853;0.753;;0.675;0.602;0.584;0.146;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.655;22.0;13.3;11.5;12.1;3.1;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.9;76.3;Health Care;(14.2);13.8 ;59.3;1.05;1.15;1.25;1.37;1.49;6.31;6.8;1.00 ;54.8 ;(3.0);3.6 ;16.9 
Cracker Barrel Old Country;CBRL;Restaurants;12;252;N;N;115.35;3.47;0.7500;1.0000;33.33;7-16-14;7-18-14;8-5-14;B05;;4.00;72.60;120.0 ;20.93;7;5.51;2.39;1.03;5.20;26.60;12.4 ;8.4 ;13.8 ;8.8 ;10 ;2,757;1.0;0.76;1.998;0.752 ;78.6;45.0;27.6;36.7 ;2.500;;1.400;0.910;;0.820;0.800;0.740;0.600;0.530;0.490;0.450;0.110;0.020;0.020;0.020;0.020;9.430;78.6;53.8;11.0;2.5;8.1;23.3;13.2;8.2;8.9;309.1;450.0;0.0;0.0;0.0;69.0;131.3;Consumer Discretionary;10.1 ;31.0 ;70.5;2.75;2.98;3.24;3.52;3.83;16.33;14.2;0.79 ;26.7 ;(0.0);11.4 ;17.4 
Crane Company;CR;Conglomerate;10;332;N;N;62.35;2.12;0.3000;0.3300;10.00;8-27-14;8-29-14;9-9-14;C09;;1.32;36.46;46.1 ;17.22;12;3.62;1.79;1.32;2.79;17.70;11.3 ;11.1 ;10.7 ;9.6 ;8 ;3,677;0.3;0.69;0.825;0.786 ;7.4;10.5;8.8;11.2 ;1.160;;1.080;0.980;;0.860;0.800;0.760;0.660;0.550;0.450;0.400;0.400;0.400;0.400;0.400;0.400;9.700;7.4;10.2;14.0;7.5;5.3;15.2;20.0;22.2;12.5;0.0;0.0;0.0;0.0;0.0;8.2;7.5;Industrials;(6.3);10.9 ;74.2;1.28;1.40;1.54;1.69;1.85;7.75;12.4;1.50 ;13.4 ;(18.6);(3.5);(9.4)
CSX Corp.;CSX;Railroad;10;323;N;N;35.63;1.80;0.1500;0.1600;6.67;5-26-14;5-28-14;6-13-14;C13;;0.64;34.78;66.0 ;19.36;12;1.84;1.94;2.84;3.20;20.80;2.2 ;13.3 ;8.6 ;10.0 ;29 ;35,466;0.2;0.86;2.106;0.743 ;9.3;21.8;18.1;24.4 ;0.590;;0.540;0.447;;0.327;0.293;0.257;0.180;0.110;0.072;0.067;0.067;0.067;0.133;0.200;0.200;3.548;9.3;20.9;36.7;11.4;14.3;42.6;63.6;53.5;7.5;0.0;0.0;0.0;0.0;0.0;18.6;21.0;Industrials;0.5 ;19.9 ;72.3;0.60;0.66;0.73;0.80;0.88;3.68;10.3;1.35 ;40.2 ;(0.1);10.9 ;20.4 
Cullen/Frost Bankers;CFR;Banking;21;135;-;-;80.81;2.52;0.5000;0.5100;2.00;5-28-14;5-30-14;6-13-14;C13;;2.04;52.04;31.6 ;20.61;12;3.92;2.05;7.69;1.89;9.90;(2.1);7.4 ;1.6 ;10.1 ;19 ;5,089;2.3;0.09;2.243;0.464 ;4.2;3.6;3.6;7.7 ;1.980;;1.900;1.830;;1.780;1.710;1.660;1.540;1.320;1.165;1.035;0.940;0.875;0.840;0.760;0.675;20.010;4.2;3.8;2.8;4.1;3.0;7.8;16.7;13.3;12.6;10.1;7.4;4.2;10.5;12.6;8.1;4.4;Financials;(14.5);6.1 ;50.7;2.00;2.15;2.36;2.60;2.86;11.96;14.8;0.83 ;18.9 ;(1.1);4.2 ;6.2 
Cummins Inc.;CMI;Machinery;9;363;N;N;146.18;2.13;0.6250;0.7800;24.80;8-20-14;8-22-14;9-2-14;C02;;3.12;36.75;62.0 ;17.22;12;8.49;1.29;1.49;3.43;21.10;(8.8);20.5 ;15.5 ;13.4 ;21 ;26,884;0.1;0.22;1.952;1.356 ;25.0;37.0;30.3;22.3 ;2.250;;1.800;1.325;;0.875;0.700;0.600;0.430;0.330;0.300;0.300;0.300;0.300;0.300;0.300;0.281;10.391;25.0;35.8;51.4;25.0;16.7;39.5;30.3;10.0;0.0;0.0;0.0;0.0;0.0;6.7;17.2;16.8;Industrials;15.2 ;32.4 ;73.8;2.27;2.50;2.75;3.02;3.33;13.87;9.5;1.73 ;20.9 ;(8.7);6.6 ;2.2 
CVS Health Corp.;CVS;Retail-Drugstores;11;275;N;Y;85.81;1.28;0.2250;0.2750;22.22;1-21-14;1-23-14;2-3-14;B03;;1.10;26.89;56.3 ;20.98;12;4.09;1.48;0.75;2.62;12.80;24.2 ;12.8 ;10.6 ;14.2 ;20 ;99,379;0.2;0.35;2.678;1.248 ;38.5;37.0;28.4;22.7 ;0.900;;0.650;0.500;;0.350;0.304;0.258;0.229;0.156;0.146;0.134;0.116;0.116;0.116;0.116;0.116;4.207;38.5;30.0;42.9;15.1;17.8;12.7;46.8;6.8;9.0;15.5;0.0;0.0;0.0;0.0;16.8;15.9;Consumer Staples;8.7 ;29.7 ;80.7;0.99;1.09;1.20;1.32;1.45;6.04;7.0;0.95 ;40.8 ;(0.2);6.1 ;13.5 
Daktronics Inc.;DAKT;Electronics;10;324;-;-;13.31;3.01;0.0900;0.1000;11.11;5-29-14;6-2-14;6-13-14;C13;;0.40;68.97;67.5 ;22.95;4;0.58;1.15;0.99;2.75;12.30;(3.8);8.3 ;(4.4);20.0 ;4 ;576;8.6;0.02;n/a;n/a;30.4;44.2;27.2;n/a;0.300;;0.230;0.220;;0.100;0.095;0.090;0.070;0.060;0.050;0.000;0.000;0.000;0.000;0.000;0.000;1.215;30.4;4.5;120.0;5.3;5.6;28.6;16.7;20.0;0.0;0.0;0.0;0.0;0.0;0.0;16.5;30.6;Information Tech;7.3 ;30.2 ;58.2;0.30;0.33;0.36;0.40;0.44;1.83;13.7;1.28 ;23.7 ;(15.4);5.5 ;3.9 
Darden Restaurants;DRI;Restaurants;10;307;Y;Y;51.78;4.25;0.5000;0.5500;10.00;7-8-13;7-10-13;8-1-13;B01;2014=Year 10;2.20;241.76;185.4 ;56.90;5;0.91;6.71;1.08;3.22;46.70;(23.3);10.4 ;(12.2);8.5 ;34 ;6,869;0.5;0.77;n/a;0.583 ;12.9;22.6;22.5;38.6 ;2.100;;1.860;1.500;;1.140;0.900;0.760;0.590;0.430;0.240;0.080;0.080;0.067;0.053;0.053;0.053;9.907;12.9;24.0;31.6;26.7;18.4;28.8;37.2;79.2;200.0;0.0;19.9;25.1;0.0;0.0;36.0;49.4;Consumer Discretionary;(30.1);26.8 ;58.6;2.12;2.33;2.53;2.75;2.98;12.71;24.5;0.72 ;20.2 ;(1.4);5.5 ;8.1 
DCP Midstream Partners LP;DPM;MLP-Natural Gas;9;369;-;-;52.95;5.82;0.7575;0.7700;1.65;11-5-14;11-7-14;11-14-14;B14;&;3.08;832.43;268.9 ;143.11;12;0.37;17.89;1.74;2.14;1.60;(41.2);48.6 ;(20.1);8.0 ;13 ;5,849;0.1;0.86;n/a;n/a;6.0;5.2;3.6;n/a;2.820;;2.660;2.515;;2.420;2.400;2.360;1.975;1.230;0.000;0.000;0.000;0.000;0.000;0.000;0.000;18.380;6.0;5.8;3.9;0.8;1.7;19.5;60.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;15.7;Energy;(133.7);9.4 ;31.4;2.85;3.13;3.38;3.65;3.95;16.97;32.0;0.82 ;22.8 ;(7.4);(2.4);1.3 
Deere & Company;DE;Farm Equipment;11;296;Y;Y;85.54;2.81;0.5100;0.6000;17.65;6-26-14;6-30-14;8-1-14;B01;;2.40;27.37;15.0 ;9.75;10;8.77;2.17;0.84;3.05;31.60;19.1 ;(22.7);14.1 ;4.5 ;22 ;30,659;8.4;3.39;0.952;0.824 ;11.2;19.7;13.4;16.3 ;1.990;;1.790;1.520;;1.160;1.120;1.060;0.910;0.780;0.605;0.530;0.440;0.440;0.440;0.440;0.440;13.665;11.2;17.8;31.0;3.6;5.7;16.5;16.7;28.9;14.2;20.5;0.0;0.0;0.0;0.0;11.8;10.3;Industrials;6.5 ;16.2 ;71.8;2.19;2.21;2.31;2.41;2.52;11.65;13.6;1.31 ;8.6 ;(8.6);3.1 ;(1.3)
Delta Natural Gas;DGAS;Utility-Gas;10;333;N;Y;20.72;3.86;0.1900;0.2000;5.26;8-27-14;9-1-14;9-15-14;C15;;0.80;67.23;21.9 ;17.41;6;1.19;4.35;1.52;1.92;23.10;13.3 ;0.9 ;8.5 ;4.0 ;2 ;146;4.8;0.74;0.385;1.428 ;4.2;3.6;3.3;2.3 ;0.740;;0.710;0.690;;0.665;0.645;0.630;0.615;0.605;0.595;0.590;0.590;0.585;0.575;0.570;0.570;9.375;4.2;2.9;3.8;3.1;2.4;2.4;1.7;1.7;0.8;0.0;0.9;1.7;0.9;0.0;1.9;1.3;Utilities;(10.3);7.1 ;42.4;0.81;0.82;0.85;0.89;0.92;4.30;20.8;0.57 ;15.6 ;(7.3);2.9 ;4.3 
DeVry Inc.;DV;Education;8;374;-;-;48.41;0.70;0.1500;0.1700;13.33;11-28-12;11-30-12;12-19-12;JlDe;2013=Year 8,SA;0.34;14.59;36.9 ;20.78;6;2.33;1.71;1.61;2.03;9.00;22.0 ;13.9 ;0.4 ;12.1 ;15 ;3,093;1.7;0.00;57.893;n/a;6.3;19.3;23.2;n/a;0.340;;0.320;0.240;;0.200;0.160;0.120;0.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.480;6.3;33.3;20.0;25.0;33.3;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.9;12.9;Consumer Discretionary;3.1 ;23.9 ;68.7;0.37;0.41;0.45;0.50;0.55;2.28;4.7;1.36 ;44.7 ;(1.6);10.3 ;15.8 
Diageo plc;DEO;Beverages-Alcoholic;5;539;Y;Y;117.97;2.86;1.4992;1.6849;12.38;8-13-14;8-15-14;10-7-14;ApOc;SA,@ADR-UK;3.37;56.44;143.7 ;19.76;6;5.97;2.91;4.45;6.76;68.90;(5.0);3.4 ;7.6 ;6.8 ;3 ;73,387;0.0;1.35;0.481;0.622 ;8.1;8.3;3.7;5.9 ;2.998;;2.774;2.595;;2.364;2.265;2.506;2.612;2.271;2.137;2.020;1.694;1.600;1.445;1.400;1.395;32.075;8.1;6.9;9.8;4.4;0.0;0.0;15.0;6.3;5.8;19.2;5.9;10.7;3.2;0.4;6.8;5.4;Consumer Discretionary;(13.3);6.5 ;45.9;3.03;3.13;3.34;3.57;3.81;16.89;14.3;0.85 ;9.0 ;(8.8);2.1 ;(2.0)
Digital Realty Trust;DLR;REIT-Industrial;10;313;-;-;68.99;4.81;0.7800;0.8300;6.41;3-12-14;3-14-14;3-31-14;C31;;3.32;171.13;118.8 ;35.56;12;1.94;13.68;6.02;3.03;8.80;43.2 ;0.6 ;41.0 ;2.6 ;20 ;9,348;0.3;1.60;0.494;n/a;6.8;17.2;20.3;n/a;3.120;;2.920;2.720;;1.940;1.350;1.240;1.145;1.060;0.888;0.000;0.000;0.000;0.000;0.000;0.000;16.383;6.8;7.4;40.2;43.7;8.9;8.3;8.0;19.4;0.0;0.0;0.0;0.0;0.0;0.0;10.2;14.0;Financials;(10.5);25.1 ;42.5;3.43;3.45;3.54;3.63;3.73;17.78;25.8;0.56 ;70.1 ;1.4 ;7.2 ;20.3 
Dominion Resources;D;Utility-Electric/Gas;11;285;N;Y;71.30;3.37;0.5625;0.6000;6.67;2-26-14;2-28-14;3-20-14;C20;;2.40;89.55;106.0 ;26.60;12;2.68;4.31;3.18;3.59;13.30;24.1 ;7.2 ;1.8 ;6.2 ;20 ;41,544;0.3;2.12;4.070;1.281 ;6.6;7.1;7.3;5.7 ;2.250;;2.110;1.970;;1.830;1.750;1.580;1.460;1.380;1.340;1.300;1.290;1.290;1.290;1.290;1.290;23.420;6.6;7.1;7.7;4.6;10.8;8.2;5.8;3.0;3.1;0.8;0.0;0.0;0.0;0.0;4.1;3.5;Utilities;(15.9);10.7 ;53.0;2.48;2.65;2.82;2.99;3.17;14.11;19.8;0.34 ;16.7 ;(1.6);2.6 ;3.9 
Domtar Corp.;UFS;Paper Products;5;518;-;-;41.07;3.65;0.2750;0.3750;36.36;6-30-14;7-2-14;7-15-14;A15;Canada,US$;1.50;22.94;(49.6);6.28;12;6.54;2.09;0.48;0.91;15.00;(42.9);19.4 ;17.1 ;3.0 ;14 ;2,669;0.1;0.47;n/a;n/a;23.5;40.9;n/a;n/a;1.050;;0.850;0.650;;0.375;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.925;23.5;30.8;73.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.1;20.2;Consumer Discretionary;n/a;n/a;57.4;1.06;1.17;1.20;1.24;1.27;5.94;14.5;1.72 ;24.3 ;(27.7);12.1 ;(5.9)
Donaldson Company;DCI;Industrial Equipment;28;94;N;N;41.58;1.59;0.1400;0.1650;17.86;6-4-14;6-6-14;6-20-14;C20;;0.66;37.50;149.3 ;23.63;7;1.76;2.44;2.33;5.92;23.60;7.3 ;12.4 ;16.2 ;9.7 ;13 ;5,753;1.2;0.43;1.085;0.956 ;42.9;26.4;17.6;18.4;0.500;;0.350;0.290;;0.248;0.230;0.223;0.190;0.170;0.140;0.113;0.093;0.083;0.075;0.071;0.063;2.836;42.9;20.7;17.2;7.6;3.4;17.1;11.8;21.4;24.4;21.6;12.1;10.0;5.3;14.0;16.4;9.6;Industrials;(4.5);19.2 ;75.8;0.54;0.59;0.65;0.71;0.78;3.26;7.8;1.09 ;14.0 ;(3.8);2.7 ;1.5 
Donegal Group Inc. A;DGICA;Insurance;12;246;N;N;15.82;3.32;0.1275;0.1315;3.14;4-29-14;5-1-14;5-15-14;B15;;0.53;72.05;(0.9);21.67;12;0.73;n/a;0.73;1.02;n/a;n/a;n/a;n/a;n/a;1 ;423;n/a;n/a;n/a;0.299 ;3.6;3.3;4.5;15.1 ;0.505;;0.488;0.475;;0.458;0.443;0.405;0.353;0.323;0.293;0.264;0.124;0.000;0.000;0.000;0.000;4.128;3.6;2.6;3.8;3.4;9.3;14.9;9.3;10.3;10.6;113.6;0.0;0.0;0.0;0.0;13.0;28.3;Financials;(13.8);7.8 ;44.0;0.52;0.54;0.55;0.57;0.59;2.76;17.5;n/a;14.3 ;(2.7);1.6 ;3.8 
Donegal Group Inc. B;DGICB;Insurance;12;247;-;-;21.52;2.16;0.1150;0.1160;0.87;4-29-14;5-1-14;5-15-14;B15;;0.46;63.56;39.7 ;29.48;12;0.73;n/a;1.07;1.49;n/a;n/a;n/a;n/a;n/a;0 ;617;n/a;n/a;n/a;0.672 ;4.0;3.7;5.1;7.6 ;0.455;;0.438;0.425;;0.408;0.393;0.355;0.303;0.274;0.250;0.233;0.219;0.203;0.203;0.203;0.200;4.559;4.0;2.9;4.3;3.8;10.6;17.4;10.5;9.4;7.2;6.4;8.3;0.0;0.0;1.4;6.2;4.6;Financials;(22.2);7.2 ;35.6;0.47;0.48;0.50;0.51;0.53;2.49;11.6;n/a;26.2 ;(16.9);(2.1);(1.1)
Douglas Dynamics Inc.;PLOW;Auto Parts;5;483;-;-;20.73;4.20;0.2125;0.2175;2.35;3-19-14;3-21-14;3-31-14;C31;;0.87;77.68;52.3 ;18.51;12;1.12;2.47;1.85;2.82;16.20;92.6 ;(23.8);(7.6);7.5 ;5 ;462;2.3;0.68;n/a;n/a;1.5;29.7;n/a;n/a;0.835;;0.823;0.805;;0.383;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.845;1.5;2.2;110.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.2;28.4;Consumer Discretionary;n/a;n/a;39.2;0.92;0.93;1.00;1.07;1.15;5.07;24.4;1.20 ;52.2 ;(2.3);5.8 ;18.8 
Dover Corp.;DOV;Machinery;59;2;Y;N;79.44;2.01;0.3750;0.4000;6.67;8-27-14;8-29-14;9-15-14;C15;&;1.60;32.59;56.1 ;16.18;12;4.91;1.57;1.60;3.39;18.90;23.0 ;10.5 ;8.7 ;10.3 ;19 ;13,136;0.9;0.69;1.150;1.023 ;9.0;10.7;10.0;9.8;1.211;;1.111;0.986;;0.894;0.852;0.752;0.643;0.593;0.551;0.510;0.476;0.451;0.434;0.401;0.368;10.232;9.0;12.7;10.3;4.9;13.3;16.9;8.5;7.6;8.2;7.0;5.6;3.8;8.3;9.1;8.9;3.4;Industrials;(4.2);12.0 ;83.6;1.33;1.47;1.61;1.77;1.95;8.13;10.2;1.48 ;18.8 ;(13.1);(3.0);(3.9)
Dr Pepper Snapple Group;DPS;Beverages-Non-alcoholic;5;485;N;N;69.25;2.37;0.3800;0.4100;7.89;3-13-14;3-17-14;4-4-14;A04;;1.64;45.94;121.9 ;19.40;12;3.57;2.37;2.22;5.71;31.00;3.0 ;6.1 ;35.0 ;8.2 ;17 ;13,463;0.1;1.08;n/a;n/a;10.4;22.8;n/a;n/a;1.480;;1.340;1.140;;0.800;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.760;10.4;17.5;42.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;11.6;Consumer Staples;n/a;n/a;52.4;1.52;1.62;1.75;1.89;2.05;8.83;12.8;0.01 ;51.8 ;(0.1);8.7 ;21.9 
DTE Energy Company;DTE;Utility-Electric;5;540;Y;Y;82.16;3.36;0.6550;0.6900;5.34;9-11-14;9-15-14;10-15-14;A15;;2.76;66.99;27.0 ;19.94;12;4.12;3.39;1.24;1.82;9.10;(2.3);4.8 ;3.2 ;5.9 ;15 ;14,542;0.1;1.07;1.176;1.745 ;7.0;5.9;3.8;2.2 ;2.550;;2.383;2.295;;2.150;2.120;2.120;2.120;2.060;2.060;2.060;2.060;2.060;2.060;2.060;2.060;32.218;7.0;3.8;6.7;1.4;0.0;0.0;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;2.5;Utilities;(12.8);7.1 ;43.6;2.58;2.70;2.86;3.02;3.20;14.36;17.5;0.37 ;30.8 ;0.2 ;6.1 ;11.2 
Duke Energy Corp.;DUK;Utility-Elec/Gas;10;336;N;N;82.15;3.87;0.7800;0.7950;1.92;8-13-14;8-15-14;9-16-14;C16;;3.18;102.58;29.3 ;26.50;12;3.10;5.64;2.29;1.42;5.40;24.6 ;3.8 ;4.4 ;4.7 ;22 ;58,102;0.2;1.04;0.622;0.560 ;2.0;2.0;2.7;4.9 ;3.090;;3.030;2.970;;2.910;2.820;2.700;2.580;2.197;2.040;1.918;1.918;1.918;1.918;1.918;1.918;35.842;2.0;2.0;2.1;3.2;4.4;4.7;17.5;7.7;6.4;0.0;0.0;0.0;0.0;0.0;3.6;4.6;Utilities;(19.9);6.6 ;42.3;3.40;3.53;3.70;3.87;4.05;18.54;22.6;0.23 ;26.7 ;(0.2);8.5 ;14.9 
Dun & Bradstreet Corp.;DNB;Publishing;8;380;-;-;122.81;1.43;0.4000;0.4400;10.00;2-21-14;2-25-14;3-12-14;C12;;1.76;23.62;n/a;16.48;12;7.45;2.63;2.69;n/a;-25.70;1.9 ;5.4 ;3.4 ;6.3 ;9 ;4,467;0.3;n/a;1.742;n/a;5.3;4.6;5.9;n/a;1.600;;1.520;1.440;;1.400;1.360;1.200;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.278;0.370;10.168;5.3;5.6;2.9;2.9;13.3;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6;5.8;Industrials;(9.1);7.4 ;46.0;1.63;1.72;1.83;1.94;2.06;9.18;7.5;1.04 ;31.9 ;(0.2);4.6 ;13.6 
DuPont Fabros Technology Inc.;DFT;REIT-Data Centers;5;489;-;-;30.97;4.52;0.2500;0.3500;40.00;4-2-14;4-4-14;4-15-14;A15;;1.40;218.75;124.3 ;48.39;12;0.64;24.20;6.31;2.34;4.70;(22.0);8.7 ;(9.9);2.0 ;5 ;2,521;0.7;1.11;n/a;n/a;66.7;31.0;4.8;n/a;0.900;;0.540;0.480;;0.400;0.000;0.713;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.033;66.7;12.5;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.1;17.5;Financials;(39.1);9.3 ;36.2;0.91;0.99;1.01;1.03;1.05;4.98;16.1;0.45 ;47.1 ;1.6 ;11.0 ;20.1 
Eagle Bancorp Montana Inc.;EBMT;Banking;15;195;-;-;10.73;2.80;0.0725;0.0750;3.45;8-13-14;8-15-14;9-5-14;C05;;0.30;56.60;(14.6);20.25;6;0.53;2.02;2.40;0.81;4.50;6.0 ;16.7 ;0.8 ;10.0 ;1 ;42;2.9;0.10;2.591;0.315 ;1.3;1.4;2.1;6.6 ;0.289;;0.285;0.283;;0.277;0.271;0.261;0.242;0.221;0.200;0.179;0.153;0.121;0.089;0.037;0.000;2.907;1.3;0.9;2.1;2.1;4.0;7.6;9.6;10.5;11.7;17.3;26.1;35.3;142.9;0.0;19.4;35.7;Financials;(15.4);4.9 ;52.2;0.31;0.34;0.37;0.41;0.45;1.87;17.4;0.36 ;3.7 ;(6.6);0.2 ;0.6 
